DateTime,Junction,Vehicles,ID,Speed,Hour,Weekday,Congestion
2015-11-01 00:00:00,1,15,20151101001,65,0,6,Heavy
2015-11-01 01:00:00,1,13,20151101011,67,1,6,Heavy
2015-11-01 02:00:00,1,10,20151101021,70,2,6,Heavy
2015-11-01 03:00:00,1,7,20151101031,73,3,6,Heavy
2015-11-01 04:00:00,1,9,20151101041,71,4,6,Heavy
2015-11-01 05:00:00,1,6,20151101051,74,5,6,Heavy
2015-11-01 06:00:00,1,9,20151101061,71,6,6,Heavy
2015-11-01 07:00:00,1,8,20151101071,72,7,6,Heavy
2015-11-01 08:00:00,1,11,20151101081,69,8,6,Smooth
2015-11-01 09:00:00,1,12,20151101091,68,9,6,Smooth
2015-11-01 10:00:00,1,15,20151101101,65,10,6,Smooth
2015-11-01 11:00:00,1,17,20151101111,63,11,6,Smooth
2015-11-01 12:00:00,1,16,20151101121,64,12,6,Smooth
2015-11-01 13:00:00,1,15,20151101131,65,13,6,Smooth
2015-11-01 14:00:00,1,16,20151101141,64,14,6,Smooth
2015-11-01 15:00:00,1,12,20151101151,68,15,6,Smooth
2015-11-01 16:00:00,1,12,20151101161,68,16,6,Smooth
2015-11-01 17:00:00,1,16,20151101171,64,17,6,Smooth
2015-11-01 18:00:00,1,17,20151101181,63,18,6,Smooth
2015-11-01 19:00:00,1,20,20151101191,60,19,6,Smooth
2015-11-01 20:00:00,1,17,20151101201,63,20,6,Smooth
2015-11-01 21:00:00,1,19,20151101211,61,21,6,Smooth
2015-11-01 22:00:00,1,20,20151101221,60,22,6,Smooth
2015-11-01 23:00:00,1,15,20151101231,65,23,6,Smooth
2015-11-02 00:00:00,1,14,20151102001,66,0,0,Heavy
2015-11-02 01:00:00,1,12,20151102011,68,1,0,Heavy
2015-11-02 02:00:00,1,14,20151102021,66,2,0,Heavy
2015-11-02 03:00:00,1,12,20151102031,68,3,0,Heavy
2015-11-02 04:00:00,1,12,20151102041,68,4,0,Heavy
2015-11-02 05:00:00,1,11,20151102051,69,5,0,Heavy
2015-11-02 06:00:00,1,13,20151102061,67,6,0,Heavy
2015-11-02 07:00:00,1,14,20151102071,66,7,0,Heavy
2015-11-02 08:00:00,1,12,20151102081,68,8,0,Heavy
2015-11-02 09:00:00,1,22,20151102091,58,9,0,Smooth
2015-11-02 10:00:00,1,32,20151102101,48,10,0,Smooth
2015-11-02 11:00:00,1,31,20151102111,49,11,0,Smooth
2015-11-02 12:00:00,1,35,20151102121,45,12,0,Smooth
2015-11-02 13:00:00,1,26,20151102131,54,13,0,Smooth
2015-11-02 14:00:00,1,34,20151102141,46,14,0,Smooth
2015-11-02 15:00:00,1,30,20151102151,50,15,0,Smooth
2015-11-02 16:00:00,1,27,20151102161,53,16,0,Smooth
2015-11-02 17:00:00,1,27,20151102171,53,17,0,Smooth
2015-11-02 18:00:00,1,24,20151102181,56,18,0,Smooth
2015-11-02 19:00:00,1,26,20151102191,54,19,0,Smooth
2015-11-02 20:00:00,1,29,20151102201,51,20,0,Smooth
2015-11-02 21:00:00,1,32,20151102211,48,21,0,Smooth
2015-11-02 22:00:00,1,30,20151102221,50,22,0,Smooth
2015-11-02 23:00:00,1,27,20151102231,53,23,0,Smooth
2015-11-03 00:00:00,1,21,20151103001,59,0,1,Smooth
2015-11-03 01:00:00,1,18,20151103011,62,1,1,Smooth
2015-11-03 02:00:00,1,19,20151103021,61,2,1,Smooth
2015-11-03 03:00:00,1,13,20151103031,67,3,1,Smooth
2015-11-03 04:00:00,1,11,20151103041,69,4,1,Smooth
2015-11-03 05:00:00,1,11,20151103051,69,5,1,Smooth
2015-11-03 06:00:00,1,11,20151103061,69,6,1,Smooth
2015-11-03 07:00:00,1,14,20151103071,66,7,1,Smooth
2015-11-03 08:00:00,1,15,20151103081,65,8,1,Smooth
2015-11-03 09:00:00,1,29,20151103091,51,9,1,Smooth
2015-11-03 10:00:00,1,33,20151103101,47,10,1,Smooth
2015-11-03 11:00:00,1,32,20151103111,48,11,1,Smooth
2015-11-03 12:00:00,1,32,20151103121,48,12,1,Smooth
2015-11-03 13:00:00,1,29,20151103131,51,13,1,Smooth
2015-11-03 14:00:00,1,27,20151103141,53,14,1,Smooth
2015-11-03 15:00:00,1,26,20151103151,54,15,1,Smooth
2015-11-03 16:00:00,1,28,20151103161,52,16,1,Smooth
2015-11-03 17:00:00,1,26,20151103171,54,17,1,Smooth
2015-11-03 18:00:00,1,25,20151103181,55,18,1,Smooth
2015-11-03 19:00:00,1,29,20151103191,51,19,1,Smooth
2015-11-03 20:00:00,1,26,20151103201,54,20,1,Smooth
2015-11-03 21:00:00,1,24,20151103211,56,21,1,Smooth
2015-11-03 22:00:00,1,25,20151103221,55,22,1,Smooth
